Date,Name,Px_LAST,CUR_MKT_CAP,CURR_ENTP_VAL,PX_TO_BOOK_RATIO,CURRENT_EV_TO_T12M_EBITDA,PX_TO_SALES_RATIO,PE_RATIO,Log_CAP,Return
39479,KMI UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,KHC UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,K UN Equity,49.02,19309.3891,24010.3891,7.5694,10.2609,1.6465,18.4981,9.868346738,-0.049447353
39479,JCI UN Equity,18.2606,19624.3981,23095.3981,0.5447,8.3017,0.4533,#N/A N/A,9.884528872,0.011992773
39479,ISRG UW Equity,101.87,11677.1142,11249.6472,13.2296,43.9335,19.2773,82.5973,9.365386154,-0.056610763
39479,IR UN Equity,31.289,10679.1815,7494.9815,1.0786,6.2636,1.0336,11.5033,9.276051471,-0.126949359
39479,IQV UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,IP UN Equity,32.2176,13991.5369,19934.5369,1.5797,7.1068,0.632,14.4474,9.546207919,0.027346939
39479,INTU UW Equity,31.16,10367.4525,10532.1195,5.5655,13.2368,3.6761,26.4068,9.24642661,0.000963701
39479,INTC UW Equity,21.78,127347.66,113119.66,2.9633,8.3576,3.3055,18.6154,11.75467611,-0.140828402
39479,INFO UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,ILMN UW Equity,33.795,3742.9314,3756.8654,9.0947,52.8615,9.9941,79.5176,8.22762438,0.134822028
39479,ICE UN Equity,27.09,9422.1187,9383.4417,6.3936,23.613,16.2824,38.9224,9.150815257,-0.269811321
39479,IBM UN Equity,109.08,150307.3532,169435.3532,5.3074,#N/A N/A,1.5656,15.1711,11.9204375,0.041933327
39479,HUM UN Equity,81.84,13866.3392,10147.6182,3.4536,6.5766,0.54,17.5622,9.537219542,0.047619048
39479,HSY UN Equity,36,8173.7857,10211.5427,13.7856,9.3989,1.6648,17.3077,9.008687447,-0.071446995
39479,HRL UN Equity,9.7425,5280.9886,5438.9556,2.6866,8.4941,0.8454,17.3973,8.571868594,-0.031079065
39479,HPE UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,HON UN Equity,57.3201,44962.9972,50790.9972,4.6403,11.1359,1.2646,15.8343,10.71359515,0.005176686
39479,HLT UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,HES UN Equity,92.07,29411.698,32784.698,3.02,6.2328,0.9088,15.1182,10.28914777,-0.068682986
39479,HD UN Equity,30.45,51387.9248,63226.9248,2.9462,6.7717,0.7614,13.2391,10.8471585,0.166219839
39479,HAL UN Equity,33.73,29721.2912,30366.2912,4.3231,7.5369,2.0058,13.2275,10.29961894,-0.128198501
39479,GOOGL UW Equity,258.2,161394.41,147175.797,7.1218,#N/A N/A,9.6755,38.8855,11.9916064,-0.247070076
39479,GM UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,GLW UN Equity,24.61,38781.2774,36848.2774,4.0637,19.5482,6.5804,17.5786,10.56569287,0.053059478
39479,GIS UN Equity,27.895,18788.0418,26194.5418,3.3005,10.1036,1.4576,16.3129,9.840975872,-0.013264945
39479,GD UN Equity,85.34,34338.0522,34238.0522,2.9298,9.6827,1.2668,16.7333,10.44400941,-0.024016468
39479,FTV UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,FOXA UW Equity,#N/A N/A,61335.7279,72928.7279,#N/A N/A,12.0146,#N/A N/A,#N/A N/A,11.02411779,#VALUE!
39479,FOX UW Equity,#N/A N/A,61335.7279,72928.7279,#N/A N/A,12.0146,#N/A N/A,#N/A N/A,11.02411779,#VALUE!
39479,FISV UW Equity,13.0225,8575.9052,13683.9052,3.486,14.89,2.2229,20.836,9.056711829,-0.057365183
39479,FIS UN Equity,24.2204,8433.5808,12497.6928,1.2747,10.2471,1.2416,13.3079,9.039976729,0.07837454
39479,FDX UN Equity,93.42,28910.1743,30214.1743,2.101,5.9035,0.905,14.7118,10.27194886,0.084261838
39479,FB UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,F UN Equity,6.85,14454.9084,9535.9084,4.1708,0.7285,0.0783,#N/A N/A,9.578789318,0.037878788
39479,EXC UN Equity,77.42,51094.7854,64439.7854,5.0483,9.4059,2.7434,17.8799,10.84143772,-0.034422549
39479,EW UN Equity,11.613,2633.9565,2654.4565,3.1486,11.6731,2.4386,20.5987,7.876242367,0.027699115
39479,EQR UN Equity,38.75,10503.6104,20529.2204,2.1524,17.4088,5.4776,242.1875,9.259474325,0.063683777
39479,EQIX UW Equity,76.63,2781.1556,3533.3656,3.4401,32.0382,5.9199,4819.4969,7.930621804,-0.222977084
39479,EOG UN Equity,44.725,22003.922,23139.668,3.1569,8.5931,5.198,21.7112,9.998975989,-0.020155548
39479,EMR UN Equity,52.22,41109.0763,44296.0763,4.4879,10.3714,1.8333,18.65,10.62398421,-0.053471089
39479,EIX UN Equity,53.47,17421.1242,26804.1242,2.0631,9.7434,1.3362,16.0571,9.765438783,0.0073474
39479,ED UN Equity,44.38,12049.8716,21377.8716,1.3302,8.5001,0.9008,12.7163,9.396809283,-0.077722361
39479,ECL UN Equity,49.02,12059.7974,12925.7974,6.2506,13.2044,2.2111,28.6667,9.397632671,-0.039388595
39479,EBAY UW Equity,12.1255,38995.179,34097.724,1.3988,13.0852,2.1467,8.7234,10.5711933,-0.113263567
39479,EA UW Equity,48.62,15314.0403,11894.0403,3.5818,#N/A N/A,4.8312,77.1746,9.636525353,-0.143410853
39479,DXC UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,DWDP UN Equity,39.89,37672.0196,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,10.53667291,0.029419355
39479,DUK UN Equity,56.67,23820.6682,34652.6682,1.1245,#N/A N/A,#N/A N/A,#N/A N/A,10.07830889,-0.043544304
39479,DISCK UW Equity,#N/A N/A,6577.5599,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.79141912,#VALUE!
39479,DISCA UW Equity,10.8263,6577.5599,6344.5659,1.3539,96.874,8.5887,166.5588,8.79141912,-0.057689462
39479,DIS UN Equity,30.66,58360.8422,72003.8422,1.9488,8.3299,1.6514,14.8835,10.97440043,-0.037060302
39479,DHR UN Equity,28.7705,24141.3459,27628.4819,2.0138,13.751,1.6251,15.0238,10.09168125,-0.118950353
39479,DG UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,DE UN Equity,88.91,38947.407,39031.407,5.5081,9.7988,1.6279,20.6049,10.56996748,-0.014301552
39479,D UN Equity,43.57,25072.2746,41543.2746,2.6728,12.038,1.8165,16.9204,10.12951792,-0.063413586
39479,CXO UN Equity,21.48,1628.9143,1931.5453,2.1007,10.6669,4.7876,34.0952,7.395668998,-0.004172462
39479,CVS UN Equity,39.9,58927.9505,68528.7505,1.8418,11.6389,0.6931,20.6736,10.9840708,0.013977128
39479,CTSH UW Equity,14.92,8664.3666,7993.9416,5.8536,18.3583,4.6313,29.84,9.066974101,-0.074154514
39479,CTAS UW Equity,33.35,5125.1611,5919.6911,2.3864,7.8046,1.3811,15.9569,8.541917238,0.030911901
39479,CSX UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,CSCO UW Equity,24.94,151310.1641,135549.1641,4.5415,12.2469,4.0027,17.9424,11.92708708,-0.06028636
39479,CRM UN Equity,12.93,6108.1319,5447.2749,13.6497,62.8123,8.0811,323.25,8.717376261,-0.142003981
39479,COST UW Equity,67.79,29472.1969,28551.7229,3.3651,12.7431,0.4536,25.4839,10.29120262,-0.005136484
39479,COP UN Equity,61.2601,128540.3716,149944.3716,1.0818,4.8872,0.5817,6.2638,11.76399831,-0.085674243
39479,COL UN Equity,64.34,10448.5073,10695.5073,6.9816,10.7062,2.3545,18.2266,9.254214405,-0.089571247
39479,CMI UN Equity,46.94,9587.7206,9857.7206,2.6947,7.9498,0.7136,12.7037,9.168238455,-0.240207187
39479,CME UW Equity,#N/A N/A,32482.4617,30765.2547,#N/A N/A,25.6378,#N/A N/A,#N/A N/A,10.38845558,#VALUE!
39479,CMCSA UW Equity,9.275,56848.8288,87360.8288,1.5956,7.4123,1.8614,25.0676,10.9481509,0.048022599
39479,CI UN Equity,49.79,13899.5255,13585.5255,2.9319,7.4441,0.8033,12.5416,9.539609982,-0.080686854
39479,CHTR UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,CELG UW Equity,29.85,23035.8539,20493.4909,8.4624,44.8773,16.2938,67.8409,10.04480715,0.289416847
39479,CCL UN Equity,44.78,35075.4123,42984.4123,1.7654,11.2348,2.7241,15.2313,10.46525566,0.025652771
39479,CCI UN Equity,37,10552.4885,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.264116988,-0.0777667
39479,CBS UN Equity,25.51,17476.0484,23218.3484,0.7982,7.5445,1.2915,13.7892,9.76858656,-0.034443603
39479,CBOE UF Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,CAT UN Equity,71.76,45636.5131,48761.5131,5.0408,7.2583,1.0182,13.3631,10.7284634,0.015998867
39479,CAG UN Equity,17.166,10756.1539,14340.5539,1.7415,9.5738,0.7168,12.2303,9.283233326,-0.052403217
39479,C UN Equity,296.9,148289.6769,877352.6769,1.3071,9.7136,0.9305,34.5233,11.90692292,0.026625173
39479,BXP UN Equity,96.09,11460.2126,16099.3496,3.1299,17.2786,7.7048,10.6767,9.346636542,0.035787431
39479,BSX UN Equity,12.37,18441.0199,25178.0199,1.2219,9.6913,2.2008,10.6638,9.822332805,0.084136722
39479,BR UN Equity,22.52,3139.7473,3984.3473,5.1665,#N/A N/A,1.4138,14.3898,8.051897598,0.012134831
39479,BMY UN Equity,23.96,47405.1349,51452.1349,4.478,12.6761,2.5944,18.4308,10.76648583,-0.083046307
39479,BKNG UW Equity,107.9,4136.4975,4215.4715,7.168,24.0287,2.885,26.253,8.327604694,-0.063693162
39479,BIIB UW Equity,56.887,18118.4875,17978.3335,3.0395,14.2894,5.6149,21.3862,9.804688105,0.10541759
39479,BHGE UN Equity,64.22,20433.8719,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.92494919,-0.208626001
39479,BF/B UN Equity,14.1973,8287.7007,9165.4007,4.7928,12.8709,3.2647,19.4591,9.022527851,-0.072478065
39479,BDX UN Equity,87.17,21260.7199,21506.9159,4.7023,11.1455,3.2449,22.0684,9.964616513,0.004494123
39479,BBY UN Equity,48.47,20332.3899,19745.3899,5.4278,7.2781,0.5585,16.1906,9.919970455,-0.053689965
39479,AXP UN Equity,49.6,57436.8,121604.8,5.2078,8.2138,1.8416,14.3353,10.95844049,-0.028213166
39479,AVGO UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,AVB UN Equity,95.932,7812.1688,11122.3008,2.6207,23.761,10.0487,34.807,8.9634379,0.085940684
39479,ATVI UW Equity,13.215,7699.3289,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,8.948888448,-0.070348224
39479,ARE UN Equity,100.53,3204.6852,6189.7032,2.312,22.865,7.4913,44.2863,8.072369143,-0.024170064
39479,APTV UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,APH UN Equity,19.9,7095.1541,7634.1491,5.6977,12.0184,2.4913,20.6218,8.867167309,-0.099547511
39479,APD UN Equity,85.3687,19802.138,23864.538,3.2674,10.7295,1.983,18.5584,9.893545191,-0.043901461
39479,APC UN Equity,60.04,28000.1344,41524.1344,1.7218,7.5225,2.4999,10.1763,10.23996459,-0.099445028
39479,AON UN Equity,44.83,13079.5205,13520.5205,2.195,10.2196,1.7933,20.1937,9.478802965,-0.034668389
39479,ANTM UN Equity,78.92,45089.3023,47598.7023,1.9093,7.565,0.7653,14.1942,10.7164003,-0.092873563
39479,ANET UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,AMZN UW Equity,74.63,31046.08,29259.08,26.8718,32.474,2.0824,66.6339,10.34322783,-0.224623377
39479,AMT UN Equity,38.65,15643.2006,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,9.657791635,-0.062803104
39479,AMGN UW Equity,47.36,51480.32,55506.32,2.881,8.5539,3.5793,11.3573,10.84895488,0.016309013
39479,AME UN Equity,19.7733,4772.9852,5494.9622,3.8501,12.5102,2.2039,20.9858,8.470727216,-0.034299361
39479,AMD UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#VALUE!
39479,AMAT UW Equity,18.88,26089.7239,24389.3179,3.4263,8.8872,2.7354,15.3496,10.1692968,0.084434233
39479,ALXN UW Equity,17.21,2587.854,2676.871,25.6337,#N/A N/A,35.0603,#N/A N/A,7.85858424,-0.088332671
39479,ALB UN Equity,37.38,3582.1141,4175.5011,2.7702,9.9019,1.5241,15.6402,8.183708436,-0.083374203
39479,AGN UN Equity,26.01,2695.3902,3384.6862,1.4578,6.7276,1.0684,19.125,7.89929826,-0.032366071
39479,AET UN Equity,53.22,26631.2877,27794.9877,2.6312,8.4692,0.9816,15.2493,10.18984203,-0.060381356
39479,AES UN Equity,19.46,13023.7475,30905.7475,4.1229,#N/A N/A,0.96,19.0784,9.474529701,-0.078162009
39479,AEP UN Equity,43.96,17584.2643,32756.2643,1.7465,8.4949,1.309,14.7023,9.774759707,-0.050539957
39479,AEE UN Equity,45.54,9472.739,16734.739,1.4049,8.0572,1.2476,13.6757,9.156173374,-0.146391753
